Sr. No.,SKU Code,Activity Name,Vendor Name,Category,Current Status,Rates,GST,Location,Latitude,Longitute
1,981,Goa - Immersive Coconut Experience,Olegario Nazareth Agri Holdings,LOCAL & HERITAGE,Locked,1313,18.00%,"Mulgaon, Goa",15.584000,73.943000
2,980,North Goa - Urmi Yacht Private Yacht Cruise,Nityay Yachts,SAILING & YACHT,Live,12000,18.00%,MISU Restaurant & Bar,15.493000,73.886000
3,979,North Goa - Nityay Yacht Private Yacht Sailing,Nityay Yachts,SAILING & YACHT,Live,19000,18.00%,MISU Restaurant & Bar,15.493000,73.886000
4,978,North Goa - Ocean Winner Private Yacht Experience,Lovely Water World,SAILING & YACHT,Live,12000,18.00%,"GW46+8Q3 Captain of Ports Jetty, Old Goa., Old Goa, Goa 403402",15.502300,73.911700
5,977,North Goa - 2-Hr Ahilo Private Yacht Charter - 20 PAX,Lyndon Rodrigues,SAILING & YACHT,Live,22000,18.00%,"Captain of Ports Jetty, Old Goa",15.502300,73.911700
6,976,North Goa - 1 Hour Leo Mar Cruise - 100 Pax,Lyndon Rodrigues,SAILING & YACHT,Live,24000,18.00%,"Captain of Ports Jetty, Old Goa",15.502300,73.911700
7,975,North Goa - Majestic 2 Private Yacht Cruising - 12 PAX,Lyndon Rodrigues,SAILING & YACHT,Live,12000,18.00%,"Captain of Ports Jetty, Old Goa",15.502300,73.911700
8,974,North Goa - Prawn Yacht Private Sailing Experience - 6 PAX,Prawn Adventure Cruises,SAILING & YACHT,Live,11500,18.00%,"GVR9+X73 Salvador du Mundu, Goa",15.548000,73.853000
9,973,North Goa - Catch to Curry And Goan Roots Trail - Non-Veg Lunch,Chudamani Baug,FOOD & CULINARY,Live,2599,5.00%,"Madel, Goa 403102",15.526000,73.912000
10,972,North Goa - Catch to Curry And Goan Roots Trail - Veg Lunch,Chudamani Baug,FOOD & CULINARY,Live,2199,5.00%,"Madel, Goa 403102",15.526000,73.912000
11,971,North Goa - Nerul Sunset Boat Ride,Kadambri Jetty,WATER ACTIVITIES,Live,500,18.00%,Kadambari Jetty Goa,15.510000,73.838000
12,970,North Goa - Nerul Backwater Boat Ride,Kadambri Jetty,WATER ACTIVITIES,Live,350,18.00%,Kadambari Jetty Goa,15.510000,73.838000
13,969,North Goa - Fishing Trail - Catch to Curry Experience,Chudamani Baug,FOOD & CULINARY,Live,1999,5.00%,"Madel, Goa 403102",15.526000,73.912000
14,968,North Goa - Goan Roots And Rustic Plates with Non-Veg Lunch,Chudamani Baug,FOOD & CULINARY,Live,1999,5.00%,"Madel, Goa 403102",15.526000,73.912000
15,967,North Goa - Goan Roots And Rustic Plates with Veg Lunch,Chudamani Baug,FOOD & CULINARY,Live,999,5.00%,"Madel, Goa 403102",15.526000,73.912000
16,966,North Goa - Tandem Bungee Jumping at Mayem Lake,JUMPIN ADVENTURE SPORTS INDIA PRIVATE LIMITED,Monsoon Specials,Live,6480,18.00%,Mayem Lake,15.574650,73.940580
17,964,North Goa - Baystar - 120-Min Private Sailing And Anchorage Experience,Sea Stories LLP,SAILING & YACHT,Live,10000,18.00%,Captain of Ports Jetty Panjim,15.500000,73.830000
18,963,North Goa - Azulejo Tile Painting and Pottery Experience Workshops,Ameya V,Signature Activity Combos,Live,4410,5.00%,-,15.600000,73.850000
19,962,North Goa - Baystar 60-Min Private Sailing Experience,Sea Stories LLP,SAILING & YACHT,Live,7000,18.00%,Captain of Ports Jetty Panjim,15.500000,73.830000
20,961,South Goa - Cola Beach Kayaking,Santosh Kayaking Cola Beach,WATER ACTIVITIES,Locked,400,18.00%,"Cola Beach, South Goa",15.036000,74.016000
21,960,South Goa - Heritage AC Coach Tour and Golden Hour Cruise,Ameya V,Signature Activity Combos,Live,800,5.00%,-,15.200000,74.000000
22,959,South Goa - Netravali Wildlife and Tanshikar Spice Farm Day Trip,Ameya V,Signature Activity Combos,Live,2950,5.00%,-,15.200000,74.000000
23,958,North Goa - Double the Adventure - ATV Jungle Ride and White-Water Rafting,Ameya V,Signature Activity Combos,Locked,5800,5.00%,-,15.600000,73.850000
24,957,North Goa - Solaris - 120-Min Private Sailing And Anchorage Experience,UDDESH KARISHETTY,SAILING & YACHT,Live,14000,18.00%,Captain of Ports Jetty Panjim,15.500000,73.830000
25,956,North Goa - Solaris 60-Min Private Sailing Yacht Experience,UDDESH KARISHETTY,SAILING & YACHT,Live,10000,18.00%,Captain of Ports Jetty Panjim,15.500000,73.830000
